==========] Running 26 tests from 4 test suites.
[----------] Global test environment set-up.
[----------] 16 tests from SiliconDriverWH
[ RUN      ] SiliconDriverWH.OneDramOneTensixNoEthSocDesc
2025-09-09 14:30:43.334 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.371 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.395 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.395 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.395 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.395 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.396 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.433 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.456 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.456 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.456 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.456 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.458 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.494 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.518 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.518 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.518 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.518 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.519 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.557 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.581 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.581 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.581 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.581 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.582 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.620 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.643 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.643 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.643 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.643 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.645 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.682 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.707 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.707 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.707 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.707 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.708 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.744 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.768 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.768 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.768 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.768 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.769 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.805 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.829 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.829 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.829 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.829 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.830 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.866 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.889 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.889 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:43.889 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.889 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.891 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.927 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:43.950 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:43.950 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
